# Summary of VMC_SR runs (final energies per site)
# One row per run: (arch, dtype, J2)
arch,dtype,J2,final_energy_per_site,final_energy_per_site_err,n_parameters,runtime_seconds,paper_true_e_site,ed_true_e_site
MLP,complex,0.40,-0.330923279015,0.008089537568,2701,11026.237688,-0.529750,
MLP,real,0.40,-0.821294229676,0.002680949783,2701,3929.111263,-0.529750,
RBM,complex,0.40,-1.886229749681,0.001746629085,5364,26952.884574,-0.529750,
RBM,real,0.40,-0.799906181479,0.000000644838,5364,5716.085223,-0.529750,
MLP,complex,0.50,-0.369400882774,0.008086896497,2701,11023.445016,-0.503810,
MLP,real,0.50,-0.667492366778,0.004600365799,2701,4294.392932,-0.503810,
RBM,complex,0.50,-1.726031501266,0.002805022444,5364,25747.824868,-0.503810,
RBM,real,0.50,-0.817215245066,0.001713349567,5364,5783.116440,-0.503810,
MLP,complex,0.60,-0.579405846171,0.005926848259,2701,11051.014350,-0.495180,
MLP,real,0.60,-0.789636508320,0.005020045887,2701,7635.253812,-0.495180,
RBM,complex,0.60,-1.744282152047,0.001596887070,5364,25813.073209,-0.495180,
RBM,real,0.60,-0.865754948379,0.000482504737,5364,5731.622256,-0.495180,
MLP,complex,1.00,-0.929908225083,0.010133704674,2701,10976.609734,-0.714360,
MLP,real,1.00,-1.007073271453,0.005538222514,2701,3928.566528,-0.714360,
RBM,complex,1.00,-2.711402404324,0.002093202388,5364,25869.774311,-0.714360,
RBM,real,1.00,-1.332513918008,0.000422689879,5364,5782.564982,-0.714360,
